title,#,author,reviewer,reviewer link,reviewer ID,editor (internal use),isbn,hide_ibooks,book_seamus_id,author_seamus_id,review_seamus_id,tags,genre (internal use),text,random numbers
Mary Coin,60,Marisa Silver,Heller McAlpin,,book critic,Rose,0399160701,,172904173,,172905580,"Realistic Fiction, For History Lovers, Family Matters, Historical Fiction",Historical Fiction,"Marisa Silver's <em>Mary Coin</em> pulls you into the story behind &mdash; and beyond &mdash; photographer Dorothea Lange and the subject of her iconic, Depression-era photo <em>Migrant Mother.</em> As expertly cropped and framed as a fine photographic print, this compassionate historical novel is about steely fortitude, ferocious maternal devotion and guilt, and what it means to really focus and see deeply. It's a beautiful read, as haunting as the portrait that inspired it, and would make an especially wonderful gift coupled with a book of Lange's photographs.",0.119151933
"Indian Cooking Unfolded: A Master Class In Indian Cooking, With 100 Easy Recipes Using 10 Ingredients Or Less",157,Raghavan Iyer,T. Susan Chang,http://tsusanchang.wordpress.com/,"food writer, cookbook reviewer and author of the CookShelf app",Beth,0761165215,,191383402,191321488,,Cookbooks & Food,Cookbook,"The moment this book arrived, I knew it was the real thing: the long-awaited, carefully assembled, comprehensive guide to cooking Indian food on a weeknight. Raghavan Iyer is a terrific teacher &mdash; clear instructions, helpful photographs &mdash; and his recipes evoke much more complicated dishes with a handful of ingredients and some canny techniques.",0.121365536
"You Don't Know Me But You Don't Like Me: Phish, Insane Clown Posse, And My Misadventures With Two Of Music's Most Maligned Tribes",,Nathan Rabin,Petra Mayer,http://www.npr.org/people/2100882/petra-mayer,NPR Books staff,Camila,1451626886,,197979531,197985077,,"Biography & Memoir, NPR Staff Picks, Funny Stuff, For Art Lovers",Nonfiction,"Nathan Rabin, head writer for <em>The A.V. Club,</em> spent a few years immersing himself in the subcultures centered on two of the most different bands in existence: Phish and Insane Clown Posse.  It’s easy to write both bands off, as either subliterate violence or noodly hippie nonsense.  But if you’ve got preconceptions about either act &mdash; and Rabin admits, going in, that he does &mdash; prepare to let go and let the delightfully described weirdness wash over you.  I cracked open this book thinking I’d rather pry out my teeth with a spoon than listen to Phish, and now … now I kind of want to go see them play.
",0.12390813
Mrs. Poe,66,Lynn Cullen,Jean Zimmerman,http://www.jeanzimmerman.com,"book critic and author, most recently of <em>The Orphanmaster</em>",Camila,1476702918,,243241591,,,"Realistic Fiction, For History Lovers, Love Stories, The Dark Side, Book Club Ideas, Historical Fiction",Historical Fiction,"Nevermore shall you wonder what it might have been like to fall deeply in love with Edgar Allan Poe. In 1845 Manhattan, the author was the 19th century version of a rock star, and the poetess who narrates this novel witnesses the smashing success of <em>The Raven</em> even as Poe's consumptive child-bride languishes. Famous personages, from Walt Whitman to Margaret Fuller to Mathew Brady, make cameos at New York's literary soirees, its ""kissing bridges,"" Niblo's Garden and healthful East River swimming parties. Romance blooms in a city where green meadows are turning overnight into row houses. Lynn Cullen's <em>Mrs. Poe</em> nails the period.",0.130403596
I Hate To Leave This Beautiful Place,76,Howard Norman,Barrie Hardymon,,<em>Weekend Edition</em> staff,Rose,0547385420,,198445025,203332983,200340631,"Biography & Memoir, The Dark Side, Seriously Great Writing, NPR Staff Picks",Memoir,"There are memoirs that suffuse you in the events of the author’s life. And then there is the rare memoir that simply soaks you in the soul of the author himself. <em>I Hate To Leave This Beautiful Place</em> is the latter. Howard Norman’s memoir is organized around five events that changed him &mdash; some are public, like the death of John Lennon, but most are intensely personal, culminating in a horrifying murder/suicide that occurred in his home and his recovery from the event. I read the book almost the way I would read poetry &mdash; reading line by line, making connections, thinking about how the language laid the life bare. To spend an hour or two inside Norman’s head is not only pleasurable; it feels like you’ve been sent a gift &mdash; go, make your connections, be human, love.",0.152922996
Fever,62,Mary Beth Keane,Jean Zimmerman,http://www.jeanzimmerman.com,"book critic and author, most recently of <em>The Orphanmaster</em>",Camila,1451693419,,203615944,,,"Realistic Fiction, For History Lovers, Eye-Opening Reads, Historical Fiction",Historical Fiction,"Early in the 20th century, Typhoid Mary was an iconic figure. In this fictive treatment Mary Mallon, a cook, becomes suspect when families she has worked for begin to die of a mysterious ailment. Blamed for the epidemic, Mary is imprisoned in an isolated bungalow on an island in Manhattan's East River. Well-researched as it is, Mary Beth Keane's <em>Fever</em> builds a story of Mallon and her inner life that goes well beyond the facts. In this novel we come to care deeply about Mallon, a woman who's not especially beautiful or gentle, but brave and headstrong and doomed.",0.156775996
Nexus,135,Ramez Naam,Annalee Newitz,http://www.techsploitation.com/,"author of <em>Scatter, Adapt and Remember: How Humans Will Survive a Mass Extinction</em>",Petra,0857662937,TRUE,243280537,,,"Science Fiction & Fantasy, Mysteries & Thrillers, It’s All Geek To Me, Rather Long",Science Fiction/Fantasy,"This exciting debut novel from futurist Ramez Naam is about a group of graduate students who create an incredible new technology called Nexus that allows people to run software in their brains &mdash; and even link their minds together like computers in a network. But in Naam's mildly dystopian future, the US government is trying to shut down any human-enhancement tech that could prove dangerous. Our heroes are in a cat-and-mouse game with government agents, fleeing to Thailand, where they discover that a secret group of Buddhist monks and scientists has plans for Nexus that could usher in a new era of empathy and peace – or generate brainwashed soldiers who do nothing but obey. This is a fascinating look at an all-too-plausible future.",0.165230185
One Good Dish ,161,David Tanis,T. Susan Chang,http://tsusanchang.wordpress.com/,"food writer, cookbook reviewer and author of the CookShelf app",Beth,1579654673,,244762380,,,Cookbooks & Food,Cookbook,"Former Chez Panisse chef and columnist David Tanis has a gift for sure-footed, pleasurable kitchen moments. <em>One Good Dish</em> is an idiosyncratic volume, with oddball chapters like ""A Dab of This and That"" (condiments), ""Strike While the Iron Is Hot"" (seared food) and ""Eating With a Spoon"" (food in bowls). Yet Tanis' excitement at a snack of mackerel rillettes on toast or wok-seared strips of lamb is so genuine and so palpable, it's impossible not to tumble headfirst into sheer gluttony with this beautifully shot, giftable collection.",0.166511943
A Reader's Book Of Days: True Tales From The Lives And Works Of Writers For Every Day Of The Year,91,Tom Nissley,Camila Domonoske,,NPR Books staff,,0393239624,,218571816,,,"NPR Staff Picks, For History Lovers, Science & Society, Rather Long",Nonfiction,"<em>Jeopardy!</em> champ Tom Nissley has created the world's least useful, most wonderful reference book, a masterpiece with a wry sensibility. He seems to have read every interesting book ever published &mdash; did he have an army of elves to assist him? Does he <em>sleep?</em> Somehow, he's gathered a half-dozen literary tidbits tied to every day of the year &mdash; scenes and plot fragments from innumerable novels, biting or admiring passages from long-forgotten reviews, significant dates from biographies. Whether you browse at random or read a page a day, this book will delight &mdash; and seriously up your literary nerd cred.",0.166928764
Queen Anne: The Politics Of Passion ,7,Anne Somerset ,Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0307962881,,243029441,,,"Biography & Memoir, For History Lovers, Eye-Opening Reads, Rather Long",Biography,"When it comes to British royal history, most Americans’ memories extend from Lady Diana to young Prince George, and not too much before that. But it would be a shame if U.S. readers missed out on Anne Somerset’s wonderful new biography of Anne, the first Queen of Great Britain, whose five-year reign coincided with some of the nation’s nastiest religious and political fights. Even if you don’t know much about 18th century Europe &mdash; and let’s face it, not many of us do &mdash; you’ll find yourself absorbed by Somerset’s lucid, sharp prose and her balanced portrait of one of Great Britain’s most misunderstood monarchs.",0.176880859
The Madness Underneath,148,Maureen Johnson,Alaya Dawn Johnson,http://www.alayadawnjohnson.com/,"author, most recently of <em>The Summer Prince</em>",Petra,039925661X,,243267637,,,"Young Adult, Science Fiction & Fantasy, The Dark Side",YA,"Not many books are simultaneously hilarious and terrifying, but Maureen Johnson pulled off the trick in her previous book, <em>The Name of the Star.</em> In this latest installment, transplanted Louisiana teen Rory is trying to navigate a posh British boarding school. Luckily, Rory has a story for everything, makes friends easily and learns the word ""snog"" in record time. Unluckily, she chokes on a piece of meat, nearly dies, and discovers that she can see ghosts. After the explosive events of the first novel, neither Rory nor her friends can go back to their old lives. Johnson deepens her ghostly mythos, the story moves in unexpected but believable directions, and the ending walloped me in the teeth. ",0.185832566
Wilson,4, A. Scott Berg ,Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0399159215,,221001705,221007513,,"Biography & Memoir, For History Lovers, Rather Long",Biography,"It might sound counterintuitive, but there’s at least one way that politics is like art: There are never, ever, any easy answers, no matter how much we wish there were. President Woodrow Wilson was a contradiction of a human being, and historians still fight over his legacy, which has always been somewhat confusing &mdash; was he a pacifist or a warmonger, a racist or an early civil rights pioneer? A. Scott Berg, to his immense credit, avoids any simplistic conclusions in his thoughtful, absorbing biography of America’s 28th president. <em>Wilson</em> is a doorstop of a book, but it’s also one of the most fast-paced, readable political biographies of recent times &mdash; and it’s essential reading for anyone interested in 20th century American history.",0.200945751
To The End Of June,90,Cris Beam,Nicole Cohen,,NPR Books staff,Camila,0151014124,,243226801,,,"NPR Staff Picks,  The Dark Side, Eye-Opening Reads, Science & Society, Family Matters, Book Club Ideas",Nonfiction,"Over five years, Cris Beam follows 22 foster children as they search for the holy grail: adoption into a stable, loving home. But as the kids and the foster parents can attest, it takes more than good intentions to make a family. A loving couple officially adopt their foster daughter only for her to run away, scared off when she realizes even adoption can’t heal the wounds of a 21-home childhood. Beam, a foster parent herself, delivers an engaging, narrative-driven investigation that centers on one of the system’s most divisive questions: Does separating children from their birth parents do more harm than good?",0.201905123
The Painted Girls,63,Cathy Marie Buchanan,Jean Zimmerman,http://www.jeanzimmerman.com,"book critic and author, most recently of <em>The Orphanmaster</em>",Camila,1594486247,,168876750,169084610,,"Realistic Fiction, For History Lovers, For Art Lovers, Family Matters, Tales From Around The World, Book Club Ideas, Historical Fiction",Historical Fiction,"Belle epoque Paris springs to life under the sure hand of Cathy Marie Buchanan, who delivers a world in <em>The Painted Girls</em> that is earthy, delicate and seductive. Edgar Degas is a central figure during the creation of his signature sculpture, <em>Little Dancer, Aged Fourteen.</em> Two real-life characters, aspiring adolescent ballerina Marie van Goethem and her older sister, Antoinette, narrate the story in alternating chapters, offering contrasting perspectives on a life of struggles and hard-won pleasures.",0.202179641
The Cuckoo's Calling,40,Robert Galbraith ,Ellah Allfrey,,book critic and editor,Rose,0316206849,,202329352,,202732292,"Realistic Fiction, Mysteries & Thrillers, Rather Long, The Dark Side, Book Club Ideas",Fiction,"A thoroughly satisfying crime novel &mdash; even if you didn’t know it was really written by J.K. Rowling. Set in London, with a private investigator appealing enough that you’ll long for his next assignment, <em>The Cuckoo’s Calling</em> is tightly plotted and faithful to the genre in all the right places. More than this, it’s an original tale with robust characterization and witty, yet forceful criticism of our obsession with celebrity and of the destructive power of the press. The best part is that you won’t be able to guess, until nearly the very end, whodunit.",0.214311003
Neptune's Brood: A Space Opera,130,Charles Stross,Annalee Newitz,http://www.techsploitation.com/,"author of <em>Scatter, Adapt and Remember: How Humans Will Survive a Mass Extinction</em>",Petra,0425256774,,243277582,,,"Science Fiction & Fantasy, It’s All Geek To Me, Funny Stuff",Science Fiction/Fantasy,"The prolific science-fiction writer Charles Stross is so famous for his speculative economic tales that even Nobel laureate Paul Krugman is a fan. And this book is probably his greatest work of economic science fiction yet, a whimsical retelling of <em>Debt: The First 5000 Years</em> by David Graeber. It's the tale of a sexbot in a future where humans have gone extinct multiple times, and a financial instrument that could destroy the solar system. Funny and smart, this is the perfect mind-bender for people who are addicted to the Economist.",0.214797764
This Close: Stories,138,Jessica Francis Kane,Jane Ciabattari,http://www.janeciabattari.com,book critic and author of <em>Stealing the Fire</em>,Camila,1555976360,,173729220,,173730058,"Poetry & Short Stories, Realistic Fiction, Family Matters, Rather Short, Seriously Great Writing",Short stories,"Jessica Francis Kane's second collection is filled with uncertain women adrift in an increasingly complicated world. Kane explores the anxieties and preoccupations of her characters with such empathy that you worry about them as you might about a troubled friend. She offers intimate insights into characters like spiky, exhausted, forlorn Mary Anne Leary, who appears in four stories, before and after the death of her son, and Elizabeth, who takes to her bed with depression. We know these people. We recognize their all-too-human flaws. They are our family, our friends and neighbors. They are us, at our most vulnerable.",0.221585026
How The Light Gets In: A Chief Inspector Gamache Novel,88,Louise Penny,Maureen Corrigan,http://www.npr.org/people/4529709/maureen-corrigan,"book critic, <em>Fresh Air</em>",Beth,0312655479,,219221004,,,Mysteries & Thrillers,Mystery,"This is a mystery worth disconnecting all electronic devices and staying home for.  <em>How the Light Gets In</em> is the ninth novel in Louise Penny’s extraordinary series featuring Chief Inspector Armand Gamache and his troubled sidekick, Inspector Jean-Guy Beauvoir, of the Surete du Quebec. Penny has been working throughout her series to tap into the spiritual dimensions of the genre, consequently, this novel is one part foul play; two parts morality play. Gamache and his skeleton crew of loyal police allies must root out an epic conspiracy and the battle between good and evil that ensues rivals the faceoff between the heavenly army and Lucifer’s fallen angels in <em>Paradise Lost.</em>",0.23391604
The New Midwestern Table: 200 Heartland Recipes ,158,Amy Thielen,T. Susan Chang,http://tsusanchang.wordpress.com/,"food writer, cookbook reviewer and author of the CookShelf app",Beth,0307954870,,243518369,,,Cookbooks & Food,Cookbook,"If you've grown up with certain ideas &mdash; maybe certain bland, beige ideas &mdash; about Midwestern food, think again. Food Network host Amy Thielen's big, generous book shares the stories of the modern-day hunters, foragers and farmers who have brought the heartland's foodways back to life. She has a free hand with the salt pork, bacon and butter, but we can argue about that after you've tried the fancy meatloaf with the mushrooms and the pistachios. (Thielen and I went to cooking school together a long time ago, but I can wholeheartedly recommend this book without regard to that acquaintance.)",0.242025246
Brilliance,,Marcus Sakey,Petra Mayer,http://www.npr.org/people/2100882/petra-mayer,NPR Books staff,Camila,1611099692,TRUE,205559517,205557205,,"Young Adult, Science Fiction & Fantasy, It's All Geek To Me, Mysteries & Thrillers, NPR Staff Picks, Rather Long",SF,"What if the X-men were real?  They’d probably have powers a lot like Marcus Sakey’s ""brilliants"" &mdash; endowed not with disbelief-straining flight or laser eyes but with accelerated human talents like pattern recognition, programming and strategy.  And they’d have a much more destructive influence than guys like Magneto ever dreamed of. Brilliants wreck the stock market, for example, before the book even starts. The government, of course, is hunting down brilliants, desperate to keep them out of sight &mdash; but our hero, Agent Nick Cooper, is hiding some explosive secrets of his own. <em>Brilliance</em> is a tightly plotted thriller with classic questions beating in its geeky heart.",0.248592499
"Dogtripping: 25 Rescues, 11 Volunteers, And 3 RVs On Our Canine Cross-Country Adventure",163,David Rosenfelt ,Emily Ecton,,<em>Wait Wait ... Don't Tell Me!</em> staff,Nicole,1250014697,,244793346,,,"NPR Staff Picks, Biography & Memoir, Funny Stuff",Memoir,"David Rosenfelt is the author of the funny and suspenseful Andy Carpenter thrillers, and he's just as funny in this nonfiction account of his move from California to Maine with his 25 rescue dogs. Any book that makes it sound fun to drive in a Winnebago for days with 11 volunteers and 25 dogs has to be good.",0.249528219
You're All Just Jealous Of My Jetpack: Cartoons,10,Tom Gauld,Glen Weldon,http://www.npr.org/people/137817249/glen-weldon,author of <em>Superman: The Unauthorized Biography</em>,Beth/Petra,1770461043,TRUE,243015664,,,"Comics & Graphic Novels, Funny Stuff, Rather Short, It’s All Geek To Me",Comic,"The titular phrase of Tom Gauld’s precise and wryly hilarious collection of cartoons (culled from his weekly gig at Britain’s <em>Guardian</em> newspaper) is delivered midblastoff by an astronaut named “Science Fiction,” as he leaves a disapproving crowd of black-clad, tut-tutting shoe-gazers collectively dubbed “Literary Fiction” in his spectacular cloud of exhaust. Gauld’s both a literature nerd and a science-fiction nerd whose deadpan mashups &mdash; Dickens and a megalosaur; the Brontes and Super Mario (“Level 02: The Moor”) &mdash; belong on the same shelf as R. Sikoryak, Michael Kupperman and Kate Beaton. ",0.254998902
Daily Rituals: How Artists Work,99,Mason Currey,Alan Cheuse,,"critic and author, most recently of <em>Paradise, Or, Eat Your Face: A Trio of Novellas</em>",Rose,0307273601,,179257043,,179286560,"Biography & Memoir, Science & Society, For History Lovers, Eye-Opening Reads, For Art Lovers",Nonfiction,"Mason Currey details the work habits of dozens of modern artists (painters, sculptors, composers, choreographers, filmmakers, scientists and writers) from Gertrude Stein to Mahler, Gershwin, Shostakovich, Freud, Jung, Proust, Erik Satie, Joyce Carol Oates, Malamud, Stephen King, Joseph Heller, Darwin and many more. When do they wake up, when do they sit down to write or chisel stone, splash paint, and when do they eat, drink, laugh, love, sleep? It’s all here &mdash; from the compulsions of Flaubert to the drug addiction of Ayn Rand &mdash; in this amazing and entertaining compendium of how geniuses apply themselves.",0.259220975
Vampires In The Lemon Grove: Stories,142,Karen Russell,Maureen Corrigan ,http://www.npr.org/people/4529709/maureen-corrigan,"book critic, <em>Fresh Air</em>",Beth,0307957233,,171094368,171506304,171371946,"Poetry & Short Stories, Science Fiction & Fantasy, Funny Stuff, Seriously Great Writing",Short stories,"This singular collection kicks off with a title story that does the near impossible: It makes me care about vampires &mdash; a breed more overexposed these days than Labrador retrievers. Other tales are in a literary league far beyond familiar orbits. “Reeling for the Empire,” for instance, imagines a sweatshop in 19th-century Japan where girls spin silk and, as they’re doing so, metamorphose into silkworms. The instant anthology keeper, though, is called “Proving Up.” It’s a Gothic tale of homesteading in Nebraska that dramatizes the payment &mdash; in sanity and mortality &mdash; that the land demanded from settlers. The daffy-to-devastating sweep of these stories will leave readers reeling. ",0.260717956
A Corner Of White,147,Jaclyn Moriarty,Alaya Dawn Johnson,http://www.alayadawnjohnson.com/,"author, most recently of <em>The Summer Prince</em>",Petra,0545397367,TRUE,243266424,,,"Young Adult, Science Fiction & Fantasy, Love Stories",YA,"It's traditional for fantasy heroes to leave their small towns for great adventures. But a series of disasters, from failing crops to falling fairies, keeps Elliot stuck at home. In modern-day Cambridge, England, Madeleine struggles to survive with her mother, and dreams of her rich, world-traveler father taking them back. Elliot's father is missing, too: He vanished a year ago after an attack of rogue colors. (In Elliot's fantastical Kingdom of Cello, visible wavelengths are living creatures, variously benign or deadly.) But though Madeleine and Elliot can’t leave, they discover a way to send messages through a tiny rift between their universes. Their conversations are charming, funny, whip-smart and heartbreaking.",0.261208661
Fear Of Flying: A Novel,27,Erica Jong,Barrie Hardymon,,<em>Weekend Edition</em> staff,Rose,0805098585,TRUE,228488141,228487056,,"Realistic Fiction, Love Stories, Let's Talk About Sex, For History Lovers, Eye-Opening Reads, NPR Staff Picks, Book Club Ideas",Fiction,"Is it cheating to pick everyone’s favorite book of 1973 as a favorite in 2013? Who cares, when that book is the 40th anniversary edition of <em>Fear of Flying.</em> Erica Jong’s seminal &mdash; I know, I know, but can you blame me? &mdash; work on female sexuality is worth rereading for two reasons. One, it’s a great book, with a warm and funny heroine &mdash; more than a zipless read, if you will. It’s simply fun to read the adventures of the deeply likable Isadora Wing, and it’s sexy as hell. And two, once you’ve read it, you can listen to the inimitable Susan Stamberg's look back with Jong on the environment that created <em>Fear of Flying</em> and why it’s still important, 40 years later. The icing on the cake? Jong’s seductive alto reading from her work, and Mama Stamberg giggling over the zipless f- - -. ",0.263084645
"Suitable Accommodations: An Autobiographical Story Of Family Life: The Letters Of J.F. Powers, 1942-1963 ",1,Katherine A. Powers (editor),Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0374268061,,243024013,,,"Biography & Memoir, For History Lovers, Rather Long",Autobiography,"It’s hard to talk about J.F. Powers, the Catholic writer who crafted a modern American classic with his 1962 novel, <em>Morte d’Urban,</em> without resorting to superlatives. Powers, who died in 1999, is possibly the most underappreciated fiction author of his generation, and quite likely the funniest. This collection of Powers’ letters to his family and friends is addictive, delightful and alternately hilarious and heartbreaking. Edited by his daughter, journalist Katherine A. Powers, <em>Suitable Accommodations</em> is a fine introduction to the work of the greatest Minnesota writer in history.",0.295853081
The Sound Of Things Falling,188,"Juan Gabriel Vasquez, translated by Anne McLean",Marcela Valdes,http://marcelavaldes.com/,book critic,Camila,1594487480,,200071955,,204517208,"Realistic Fiction, Tales From Around The World, Seriously Great Writing",Fiction,"Law professor Antonio Yammara thinks he’s indifferent to Colombia’s history of drug-related violence. Then a motorcycle roars by, a stray bullet pierces his gut and the terror suppressed for a decade comes flooding in. We’ve seen enough morality tales about cops and dealers, victims and addicts. <em>The Sound of Things Falling</em> provides a more sophisticated pleasure: a vision of how drugs have unraveled a generation, one humble life at a time.",0.302350806
Transfer Of Qualities,110,Martha Ronk,Craig Morgan Teicher,http://www.craigmorganteicher.com/,poet and critic,Camila,189065082X,TRUE,243289256,,,"Poetry & Short Stories, Science & Society, Seriously Great Writing",Poetry,"Martha Ronk has been an experimental poetry darling for years, but this may indeed be her breakthrough: It's a series of prose meditations on objects found in rooms and the pressures they exert on the people going in and out of those rooms. Ronk has a cold, analytical tone that breaks suddenly and surprisingly into feeling in the oddest places. Is this poetry? Who knows, who cares &mdash; it's really, really good. ",0.321463354
I'll Be Seeing You,128,Suzanne Hayes and Loretta Nyhan,Bobbi Dumas,http://www.readaromancemonth.com/,"freelance writer, book reviewer and founder of Read-A-Romance Month",Camila,0778314952,TRUE,186029318,,,"Love Stories, Realistic Fiction, For History Lovers, Family Matters, Book Club Ideas, Historical Fiction",Romance-ish,"Written entirely through letters, this novel chronicles the correspondence of two very different women who help each other through the trials, triumphs and tragedies of war. Rita is a middle-aged professor's wife in Iowa with a husband and son in battle, while Glory is a young wife and mother in Massachusetts whose husband has enlisted. Despite their differences, the two develop a deep friendship, and readers are treated to an exquisitely rendered snapshot of life on the home front. A must-read for anyone even vaguely interested in the World War II era, with romance woven through the details.",0.332917969
New School,53,Dash Shaw,Glen Weldon,http://www.npr.org/people/137817249/glen-weldon,author of <em>Superman: The Unauthorized Biography</em>,Beth/Petra,1606996444,TRUE,195932233,,195178394,"Comics & Graphic Novels, Family Matters, For Art Lovers, The Dark Side, Seriously Great Writing",Graphic Novel,"Dash Shaw makes comics that set out to unsettle, using the unique tools the medium provides to expose discomfiting truths about relationships both familial and romantic. A proud experimentalist, Shaw often shuns tidy narrative conventions in favor of raw emotion. His striking and enigmatic graphic novel <em>New School,</em> about two brothers who find work at a massive historical theme park called Clockworld, allows him to poke at a host of ideas about foreignness, sexuality and, obliquely, the making of art. It’s a masterful, gorgeous and defiantly odd work that demands close attention &mdash; and richly rewards it.",0.337713784
Keepers: Two Home Cooks Share Their Tried-And-True Weeknight Recipes And The Secrets To Happiness In The Kitchen,160,"Kathy Brennan, Caroline Campion ",T. Susan Chang,http://tsusanchang.wordpress.com/,"food writer, cookbook reviewer and author of the CookShelf app",Beth,1609613546,TRUE,243518472,,,Cookbooks & Food,Cookbook,"Do you need another book claiming to offer quick weeknight dinners? Well, you need this one. <em>Keepers</em> is highly focused &mdash; it's dinner and dinner only, and not one of its recipes will set you back more than 45 minutes. At the same time, these two former <em>Saveur</em> editors make no compromises on taste or quality. Even their shortcuts &mdash; a pack of frozen vegetables, store-bought puff pastry &mdash; are in the service of deliciousness (in this case, a fast chicken pot pie).",0.338745004
A Natural History Of Dragons: A Memoir By Lady Trent,131,Marie Brennan,Annalee Newitz,http://www.techsploitation.com/,"author of <em>Scatter, Adapt and Remember: How Humans Will Survive a Mass Extinction</em>",Petra,0765331969,,243277751,,,"Science Fiction & Fantasy, For History Lovers, It’s All Geek To Me, Love Stories",Science Fiction/Fantasy,"This delightful alternate history takes place in a Victorian England where naturalists are eagerly creating phylogenies of dragons. It's the memoir of a scientist whose books about dragons are the definitive works in the field. But of course, all brilliant scientists have to start somewhere, and this book chronicles how a young woman in a male-dominated world managed to talk her way into dangerous scientific expeditions, and make incredible breakthroughs in the understanding of how dragons reproduce, fly, and speciate. Though a fantasy, this novel is truly a homage to the history of science – and its brave, no-nonsense heroine will win you over with her passionate love for field research (and her love for a bookish young man, too).",0.356050061
Johnny Cash: The Life,5,Robert Hilburn ,Michael Schaub,http://www.npr.org/people/151841337/michael-schaub,book critic,Beth/Tanya,0316194751,,240794234,240778989,,"Biography & Memoir, For History Lovers, Rather Long, For Art Lovers",Biography,"Johnny Cash became a legend long before he died, and there’s no doubt that he’s one of the most iconic American musicians of all time. Figures as beloved as the ""Man in Black"" present a hazard for biographers &mdash; it’s easy for chronicles of their lives to turn into hagiographies. Journalist Robert Hilburn deftly avoids this trap in <em>Johnny Cash,</em> which is as fascinating as it is honest. Cash wouldn’t have been who he was if it weren’t for his capacity for both love and sin, and Hilburn’s portrait of a genius in constant battle with his demons is as absorbing as any biography published this year.",0.358749722
We Need New Names: A Novel,37,NoViolet Bulawayo,Ellah Allfrey,,book critic and editor,Rose,0316230812,,186949273,,186950665,"Realistic Fiction, Tales From Around The World, Seriously Great Writing",Fiction,"Shortlisted for the 2013 Man Booker Prize, this astonishing debut is narrated by Darling, a young girl from Zimbabwe. She is feisty, knowing and determined and she narrates in a distinct, powerful voice. Darling must face head-on the social trauma caused by a corrupt and derelict leadership and the ambivalent impact of the international NGO aid business. All this is subtly woven into what is, most important, the story of one unforgettable child who knows there has to be more to life than hunger and want &mdash; and of what happens when her dreams come true.",0.368512697
YOU,133,Austin Grossman,Annalee Newitz,http://www.techsploitation.com/,"author of <em>Scatter, Adapt and Remember: How Humans Will Survive a Mass Extinction</em>",Petra,0316198536,,243279608,,,"Science Fiction & Fantasy, It’s All Geek To Me",Science Fiction/Fantasy,"<em>YOU</em> is a surreal, melancholy character study of a group of high school gamers who grow up to be semi-legendary videogame developers. Austin Grossman turned superheroes into socially awkward neurotics in his previous novel, <em>Soon I Will Be Invincible</em>, and here he turns game development into a dangerous, often-deadly quest. As our hero tries to find a bug in the game he is desperately trying to finish, he is also working through the senseless death of his friend, who created the first version of the game. In part, the book is a stylistic exploration of videogame writing, offering us pages of object and character descriptons just as they would be written before being converted into the code of a game. But it's also a coming-of-age story about how we never leave our fantasies behind. They become more real, and more powerful, as we age.",0.378125947
Belmont: Poems,113,Stephen Burt,Craig Morgan Teicher,http://www.craigmorganteicher.com/,poet and critic,Camila,1555976441,TRUE,168536722,,,"Poetry & Short Stories, Seriously Great Writing, Funny Stuff, Family Matters",Poetry,"Stephen Burt is the leading poetry critic of his generation, one of contemporary poetry's most well-known advocates, but he is also a formidable poet himself. In this, his third and best book, he is moved to song by the challenges, whimsies and ecstasies of fatherhood and suburban life. These poems are all kinds of tender; they're funny, too. Most of all, they're made wise by a father's careful attention to all his children know.",0.378482344
New And Selected Poems: 1962-2012,111,Charles Simic,Craig Morgan Teicher,http://www.craigmorganteicher.com/,poet and critic,Camila,0547928289,,243289383,,,"Poetry & Short Stories, Seriously Great Writing",Poetry,"Charles Simic is justifiably famous, having taken poetry by storm in the late '60s and '70s with compact lyrics that combine a wry, Eastern European sense of humor with memories of a childhood haunted by war. Anyone who likes poetry has probably read at least a few of his surreal-seeming poems, which tell more of the truth than they let on. This the first selection of Simic's poems to span the six decades during which Simic has been writing, making it an essential book.",0.378955405
The Book Of Goodbyes,107,Jillian Weise,Craig Morgan Teicher,http://www.craigmorganteicher.com/,poet and critic,Camila,1938160142,,243288671,,,"Poetry & Short Stories, Let's Talk About Sex, Seriously Great Writing",Poetry,"Jillian Weise, who won this year's Laughlin Award for an outstanding second book of poetry, is a force of nature. This collection follows up her debut, <em>The Amputee's Guide to Sex,</em> with what happens when sex becomes love that just won't go away &mdash; no matter how unsuitable the beloved seems to be. This is love poetry for the 21st century: hot, hip and heart-rending.",0.387498215
Bobcat And Other Stories,140,Rebecca Lee,Jane Ciabattari,http://www.janeciabattari.com,book critic and author of <em>Stealing the Fire</em>,Camila,1616201738,,243255974,,,"Poetry & Short Stories, The Dark Side, Seriously Great Writing, Realistic Fiction, Seriously Great Writing, Book Club Ideas, Let's Talk About Sex",Short stories,"Rebecca Lee is a virtuoso &mdash; ironic, original, cosmopolitan. Standouts in this first collection are ""Fialta,"" about a love triangle set at an invitation-only workshop run by the ""architect of the prairies,"" and the title story, in which the hostess of an elaborate Upper West Side dinner party discovers her husband is cheating. In an eerie parallel, a guest describes a bobcat attack in Nepal: "" … when blood leaks out of a body, the body loses its pulsing internal clock, and all understanding of time is released. The soul becomes loosed from the body and unhinged from time simultaneously and begins to roam freely about … "" ",0.388758091
